summary_level,year,stem,cbsa_code,cbsa_title,vintage,excluded_tract_count,positive_area_overlap_tract_count,zero_area_overlap_tract_count,total_overlap_area_sq_m,mean_overlap_area_sq_m,mean_overlap_area_sq_km,median_overlap_area_sq_m,max_overlap_area_sq_m,max_overlap_area_sq_km,mean_overlap_pct_of_tract,median_overlap_pct_of_tract,max_overlap_pct_of_tract,mean_positive_overlap_area_sq_m,mean_positive_overlap_area_sq_km,max_overlap_tract_id,max_overlap_state,max_overlap_county,max_overlap_tract_name
year_cbsa,1990,95184_18700_march_2020,18700,"Corvallis, OR",march_2020,11,11,0,6740928.608079752,612811.6916436139,0.6128116916436138,87898.75221140223,5143405.607733173,5.143405607733174,0.14733818001714674,0.03189923492322564,1.3355499237641268,612811.6916436139,0.6128116916436138,G41004300306,41,Linn County,Tract 306
year_cbsa,1990,95263_36140_march_2020,36140,"Ocean City, NJ",march_2020,2,2,0,138034.4159234074,69017.2079617037,0.06901720796170369,69017.2079617037,99295.07568783843,0.09929507568783842,0.03326413676094006,0.03326413676094006,0.05087975608457154,69017.2079617037,0.0690172079617037,G34000100116,34,Atlantic County,Tract 116
year_cbsa,1990,95655_21820_march_2020,21820,"Fairbanks, AK",march_2020,6,6,0,49096277.30374153,8182712.883956921,8.182712883956922,7764729.051329266,15044088.84766624,15.04408884766624,0.03719197980398891,0.027794852403374107,0.013693855585470194,8182712.883956921,8.18271288395692,G02029009604,02,Yukon-Koyukuk Census Area,BNA 9604
year_cbsa,1990,957419_14860_march_2020,14860,"Bridgeport-Stamford-Norwalk, CT",march_2020,30,30,0,145940.37991687754,4864.679330562585,0.0048646793305625845,120.86695520314305,54645.62473101778,0.05464562473101778,0.015610376407596653,0.0010534454074805494,0.1319255005016818,4864.679330562585,0.004864679330562585,G09000502534,09,Litchfield County,Tract 2534
year_cbsa,1990,9618502_16980_march_2020,16980,"Chicago-Naperville-Elgin, IL-IN-WI",march_2020,50,50,0,264169.1329668841,5283.3826593376825,0.005283382659337681,54.72673639177572,61507.27900040034,0.06150727900040034,0.0026503426889884453,7.016417878814068e-05,0.02826632209348558,5283.3826593376825,0.005283382659337682,G17000700104,17,Boone County,Tract 104
year_cbsa,1990,967604_36540_march_2020,36540,"Omaha-Council Bluffs, NE-IA",march_2020,26,26,0,3333453.6893210183,128209.75728157762,0.12820975728157763,11.39307210393994,3235059.766530489,3.235059766530489,0.020777092860758857,3.1586359789519697e-06,0.5218840099188482,128209.75728157762,0.12820975728157763,G31005309837,31,Dodge County,BNA 9837
year_cbsa,1990,97517_16020_march_2020,16020,"Cape Girardeau, MO-IL",march_2020,19,19,0,822731.14440018,43301.63917895684,0.04330163917895685,63.51629859700724,279367.2362751159,0.27936723627511595,0.038595989777420014,1.4395877371861271e-05,0.06897834305003316,43301.63917895684,0.04330163917895684,G17018109505,17,Union County,BNA 9505
year_cbsa,1990,978529_49340_march_2020,49340,"Worcester, MA-CT",march_2020,53,53,0,2031108.6049769672,38322.80386748995,0.038322803867489943,4922.86696824119,659023.869625564,0.6590238696255639,1.7856839764880508,0.042594852488285956,0.9049070791615941,38322.80386748995,0.03832280386748995,G25001703201,25,Middlesex County,Tract 3201
year_cbsa,1990,98331_47020_march_2020,47020,"Victoria, TX",march_2020,14,14,0,3810.4739946126483,272.17671390090345,0.0002721767139009035,0.602790181090745,3219.4219334160475,0.0032194219334160477,4.448811632373766e-05,1.0692819393278683e-07,0.0005348400197384999,272.17671390090345,0.00027217671390090346,G48002509501,48,Bee County,BNA 9501
year_cbsa,1990,98584_40660_march_2020,40660,"Rome, GA",march_2020,14,14,0,339.71484972687256,24.265346409062325,2.426534640906232e-05,0.29544488688490844,182.2537839290425,0.0001822537839290425,1.609228897089448e-05,2.0169276222691056e-07,0.00011418338535530011,24.265346409062325,2.4265346409062326e-05,G1300150960398,13,Bartow County,BNA 9603.98
year_cbsa,1990,99266_20220_march_2020,20220,"Dubuque, IA",march_2020,12,12,0,61094.42089835136,5091.20174152928,0.00509120174152928,15.679095057715369,59395.51697612119,0.059395516976121186,0.003017084959234619,2.8049176636006453e-06,0.03543201806100027,5091.20174152928,0.00509120174152928,G55004309612,55,Grant County,BNA 9612
year_cbsa,2000,100180_26300_march_2020,26300,"Hot Springs, AR",march_2020,9,9,0,1014115.4731031596,112679.49701146217,0.11267949701146218,95147.73334921329,255619.50808882274,0.2556195080888227,0.027996353992719405,0.021800378042605255,0.08305503267694667,112679.49701146217,0.11267949701146217,G0500590020600,Arkansas,590,Census Tract 206
year_cbsa,2000,100512_16940_march_2020,16940,"Cheyenne, WY",march_2020,6,6,0,5022.106903621066,837.0178172701776,0.0008370178172701777,188.00447696276188,4195.882014441641,0.004195882014441641,1.942076062541984e-05,1.1383562373033296e-05,6.56593004619754e-05,837.0178172701776,0.0008370178172701777,G0801230002501,Colorado,1230,Census Tract 25.01
year_cbsa,2000,1008654_23420_march_2020,23420,"Fresno, CA",march_2020,16,16,0,258744.98613867298,16171.561633667061,0.016171561633667064,17.66226056204679,232971.99559749264,0.23297199559749265,0.00484559300095637,2.958239484905886e-06,0.062299967109907484,16171.561633667061,0.01617156163366706,G0600390001000,California,390,Census Tract 10
year_cbsa,2000,101235_42700_march_2020,42700,"Sebring-Avon Park, FL",march_2020,9,9,0,2618770.931195796,290974.547910644,0.29097454791064403,98023.12154796714,967623.5593105396,0.9676235593105397,0.0369342387479333,0.01695926028062445,0.11023609781318565,290974.547910644,0.290974547910644,G1200270980100,Florida,270,Census Tract 9801
year_cbsa,2000,1015331_46140_march_2020,46140,"Tulsa, OK",march_2020,32,32,0,2088438.5702688869,65263.705320902714,0.0652637053209027,27004.2395733515,444426.57460827264,0.4444265746082726,0.03308232009368767,0.00798497096170526,0.1283144974696894,65263.705320902714,0.06526370532090271,G4000910979800,Oklahoma,910,Census Tract 9798
year_cbsa,2000,102206_30620_march_2020,30620,"Lima, OH",march_2020,12,12,0,5532.78088300146,461.065073583455,0.00046106507358345495,7.679786758046667,3174.291242816826,0.003174291242816826,0.00036744986729624946,3.397510329063164e-06,0.003480032285029983,461.065073583455,0.000461065073583455,G3900110040200,Ohio,110,Census Tract 402
year_cbsa,2000,103436_23460_march_2020,23460,"Gadsden, AL",march_2020,10,10,0,3325.2391093899973,332.52391093899973,0.0003325239109389998,7.287406839161031,2734.693847667148,0.002734693847667148,0.00016922182054993607,3.2423631806100724e-06,0.0014817566950430074,332.52391093899973,0.00033252391093899973,G0100150002600,Alabama,150,Census Tract 26
year_cbsa,2000,103566_31860_march_2020,31860,"Mankato, MN",march_2020,13,13,0,610001.3962321052,46923.18432554656,0.046923184325546555,20.656659301971793,543066.2113392305,0.5430662113392305,0.6277092121007348,2.272714189772898e-05,8.14121565899937,46923.18432554656,0.046923184325546555,G2700150960100,Minnesota,150,Census Tract 9601
year_cbsa,2000,103852_23900_march_2020,23900,"Gettysburg, PA",march_2020,14,14,0,152679.78502459833,10905.698930328452,0.010905698930328453,149.90677657168678,44784.227433957225,0.04478422743395723,0.15353990314693985,9.732685265222515e-05,0.08549986316643905,10905.698930328452,0.010905698930328452,G4201330020510,Pennsylvania,1330,Census Tract 205.10
year_cbsa,2000,103856_13020_march_2020,13020,"Bay City, MI",march_2020,3,3,0,108.37383967307105,36.12461322435701,3.612461322435702e-05,28.407035493180764,51.93495070903445,5.1934950709034455e-05,5.315878356994653e-05,3.0834252520225565e-05,0.00010665632655553691,36.12461322435701,3.612461322435701e-05,G2601450010200,Michigan,1450,Census Tract 102
year_cbsa,2000,103998_19500_march_2020,19500,"Decatur, IL",march_2020,9,9,0,240615.21513331644,26735.023903701825,0.026735023903701825,15.501241797519002,220799.31366954316,0.22079931366954317,0.007209803246023072,4.578498956478286e-06,0.05927835380874559,26735.023903701825,0.026735023903701825,G1700210958100,Illinois,210,Census Tract 9581
year_cbsa,2000,104154_22540_march_2020,22540,"Fond du Lac, WI",march_2020,9,9,0,5477.521810404168,608.613534489352,0.0006086135344893521,16.6065540181105,4726.904831748631,0.004726904831748631,0.0002895288032392303,1.646276332274111e-05,0.002202288750431708,608.613534489352,0.000608613534489352,G5500270960400,Wisconsin,270,Census Tract 9604
year_cbsa,2000,1043433_46060_march_2020,46060,"Tucson, AZ",march_2020,13,13,0,6245184.937294275,480398.84133032884,0.48039884133032895,369715.6345597528,2283518.329590275,2.283518329590275,0.07469687686957163,0.023682217529744837,0.5920159331339572,480398.84133032884,0.48039884133032884,G0400130940700,Arizona,130,Census Tract 9407
