year,stem,cbsa_code,cbsa_title,vintage,tract_id_column,tract_id,source_path,definition_path,state,county,tract_name,total_population,tract_area_sq_m,tract_area_sq_km,cbsa_overlap_area_sq_m,cbsa_overlap_area_sq_km,cbsa_overlap_pct_of_tract,positive_area_overlap,representative_point_within_cbsa,geometry_type,is_valid,validity_reason,rep_within_own_geometry,rep_covered_by_own_geometry,centroid_within_cbsa,centroid_distance_to_cbsa_m,largest_component_rep_within_cbsa,largest_component_rep_covered_by_cbsa,largest_component_rep_distance_to_cbsa_m,rep_distance_to_cbsa_m,rep_distance_to_cbsa_boundary_m,tract_nonoverlap_area_sq_km,tract_nonoverlap_pct,overlap_geometry_type,nonoverlap_geometry_type,component_count,largest_component_index,largest_component_area_pct,rep_component_index,rep_component_rank_by_area,rep_component_area_pct,rep_on_largest_component,diagnostic_bucket
2010,103566_31860_march_2020,31860,"Mankato, MN",march_2020,GISJOIN,G2700150960101,old_cbsas/2010/103566_31860_march_2020_cbsa_tracts.shp,cbsas/defs/103566_31860_march_2020.shp,Minnesota,150,Census Tract 9601.01,2000,2789826.6172873066,2.7898266172873067,500097.42963454593,0.500097429634546,17.925753039119567,True,False,Polygon,True,Valid Geometry,True,True,False,272.97121067014757,False,False,482.6393500091853,482.6393500091853,482.6393500091853,2.289729187652758,82.07424696088036,GeometryCollection,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1970,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013101,old_cbsas/1970/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,Colorado,Boulder County,Tract  131.01,8308,15476056.368266044,15.476056368266043,2192725.206893039,2.192725206893039,14.168501036150689,True,False,Polygon,True,Valid Geometry,True,True,False,919.3806805152442,False,False,890.2237957024189,890.2237957024189,890.2237957024189,13.283331161373,85.83149896384928,GeometryCollection,Polygon,1,0,100.0,0,1,100.0,True,other_high_overlap
1990,433353_41420_march_2020,41420,"Salem, OR",march_2020,GISJOIN,G4100430031098,old_cbsas/1990/433353_41420_march_2020_cbsa_tracts.shp,cbsas/defs/433353_41420_march_2020.shp,41,Linn County,Tract 310.98,10,1593715.5916472434,1.5937155916472434,214808.2271763502,0.2148082271763502,13.4784542676355,True,False,Polygon,True,Valid Geometry,True,True,False,220.358710607581,False,False,229.37187860011807,229.37187860011807,229.37187860011807,1.3789073644708951,86.52154573236463,GeometryCollection,Polygon,1,0,100.00000000000001,0,1,100.00000000000001,True,other_high_overlap
1990,122822_11020_march_2020,11020,"Altoona, PA",march_2020,GISJOIN,G42006109514,old_cbsas/1990/122822_11020_march_2020_cbsa_tracts.shp,cbsas/defs/122822_11020_march_2020.shp,42,Huntingdon County,BNA 9514,0,442374.7851923891,0.4423747851923891,273550.86148444185,0.2735508614844418,61.83690179481509,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,2.0584866348364086,2.0584866348364086,2.0584866348364086,0.16882392370795982,38.16309820518776,GeometryCollection,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
2000,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G3600850001500,old_cbsas/2000/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,850,Census Tract 15,682,2563237.1448179036,2.563237144817903,1493918.1271592,1.4939181271592,58.28247808360043,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,64.67899056449909,64.67899056449909,64.67899056449909,1.069319017658717,41.717521916400095,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1990,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008500015,old_cbsas/1990/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,36,Richmond County,Tract 15,142,2563491.4091432896,2.5634914091432894,1493916.9174928262,1.4939169174928262,58.276650047057835,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,64.67899377865126,64.67899377865126,64.67899377865126,1.069574491650476,41.72334995294266,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1970,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008500015,old_cbsas/1970/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,Richmond County,Tract   15,257,2560916.2266133837,2.560916226613384,1491341.7349629223,1.4913417349629223,58.23469426546248,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,64.67899377865126,64.67899377865126,64.67899377865126,1.069574491650476,41.76530573453808,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1980,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G36008500015,old_cbsas/1980/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New York,Richmond County,State: 36 County: 085 Tract: 15,188,2560916.2266133837,2.560916226613384,1491341.7349629223,1.4913417349629223,58.23469426546248,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,64.67899377865126,64.67899377865126,64.67899377865126,1.069574491650476,41.76530573453808,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1980,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013102,old_cbsas/1980/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,Colorado,Boulder County,State: 08 County: 013 Tract: 131.02,1781,30871655.99528895,30.87165599528895,17405899.4241019,17.4058994241019,56.381489307726355,True,False,Polygon,True,Valid Geometry,True,True,False,408.19953791694803,False,False,398.73530598767195,398.73530598767195,398.73530598767195,13.465756571187075,43.61851069227373,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1970,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013102,old_cbsas/1970/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,Colorado,Boulder County,Tract  131.02,159,30871655.995288976,30.871655995288975,17405899.424101893,17.405899424101893,56.38148930772629,True,False,Polygon,True,Valid Geometry,True,True,False,408.1995379166825,False,False,398.73530598767195,398.73530598767195,398.73530598767195,13.465756571187075,43.618510692273695,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
